country,year,disaster_type,deaths,affected,magnitude
India,2001,Earthquake,20005,6321812,7.7
India,2004,Flood,3122,15000000,
India,2005,Flood,1200,20000000,
India,2008,Flood,2314,1000000,
India,2013,Flood,6054,4100,
India,2015,Flood,422,1800000,
India,2018,Flood,483,5400000,
India,2019,Flood,1900,1200000,
India,2020,Flood,2067,4100000,
India,2021,Flood,900,500000,
India,2001,Cyclone,10000,15000000,
India,2007,Cyclone,3406,15000000,
India,2013,Cyclone,45,1300000,
India,2020,Cyclone,128,1500000,
India,1999,Cyclone,10000,15000000,
India,2002,Drought,,300000000,
India,2009,Drought,,100000000,
India,2015,Drought,,330000000,
India,2000,Earthquake,30,200000,5.2
India,2011,Earthquake,111,500000,6.9
India,2022,Flood,,2000000,
India,2023,Flood,1400,800000,
